Brand,Model,Green Ticks,Cooling Capacity (kW),Full Load COP,COP at 75% Part Load,COP at 50% Part Load,COP at 25% Part Load,IEER,Annual Energy Consumption (kWh),Annual Energy Cost ($),Date of Expiry,Number of Indoor Units Used for Test,Model No. of Indoor Units Used for Test
Daikin,RWHQ12TYM,2,32.32,3.75,4.74,5.81,5.64,5.09,2100,2100,31/03/2027,6,"FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM"
Daikin,RWHQ18TYM,1,48.27,3.01,3.90,4.94,5.75,4.36,3754,3754,31/03/2027,9,"FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM"
Daikin,RSUQ7AYM,2,19.40,3.46,4.31,5.43,6.33,4.81,1474,1474,31/03/2027,4,"FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ25AVM"
Daikin,RXQ16AYMW,1,43.42,3.22,4.11,4.89,5.35,4.43,2789,2789,31/03/2027,8,"FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM"
Daikin,RXQ12AYMW,3,32.33,3.49,4.88,6.19,5.97,5.30,1775,1775,31/03/2027,6,"FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM"
Daikin,RXQ6AYMW,3,15.45,4.45,5.52,6.05,3.22,5.34,830,830,31/03/2027,3,"FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM"
Daikin,RXQ20AYM,1,54.04,2.96,4.08,4.87,5.09,4.37,3489,3489,31/03/2027,10,"FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM"
Daikin,RXQ8AYMW,2,21.62,3.93,5.02,5.66,3.02,4.90,1226,1226,31/03/2027,4,"FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM"
Daikin,RQQ14TYM,1,38.60,3.62,4.41,5.30,3.42,4.48,2938,2938,31/03/2027,7,"FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM"
Daikin,RXQ18AYM,1,48.27,2.97,4.18,4.63,5.08,4.38,3099,3099,31/03/2027,9,"FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM"
