Brand,Model,Green Ticks,Cooling Capacity (kW),Full Load COP,Part Load COP,Weighted COP,Annual Energy Consumption (kWh),Annual Energy Cost ($),Date of Expiry
AVOLTA,SGTC3T/S3B25PS,3,6.49,3.88,5.32,4.74,409,409,06/03/2025
AVOLTA,SGC3T/S3B25PS,3,6.88,3.80,4.67,4.32,453,453,18/01/2025
AVOLTA,SGTC4T-S1B09,4,2.64,4.65,5.88,5.39,139,139,06/02/2025
AVOLTA,SGC5T/S3B25PS,2,6.62,3.59,4.55,4.17,453,453,07/12/2024
AVOLTA,SGTC4T-S1B12,4,3.42,4.39,6.31,5.54,183,183,06/02/2025
Daikin,RZFC71DV1G,2,6.50,3.41,4.85,4.27,478,478,18/11/2026
Daikin,RKM50PVMG,2,5.28,3.49,5.11,4.46,336,336,23/03/2027
Daikin,RZFC60DV1G,2,5.53,3.61,4.44,4.11,412,412,18/11/2026
Daikin,RKM42PVMG,2,4.20,3.56,5.21,4.55,266,266,23/03/2027
Daikin,RKM60XVMG,3,5.88,3.81,5.74,4.97,356,356,12/12/2025
Daikin,RKM50XVMG,3,5.00,4.17,5.71,5.09,289,289,12/12/2025
Daikin,MKM100VVMG,5,8.58,4.91,6.35,5.77,492,492,06/08/2026
Daikin,RZF60CV1G,4,6.00,4.36,6.74,5.79,350,350,18/11/2026
Daikin,RXMQ5AAVEG,3,13.51,3.82,6.35,5.34,1120,1120,04/05/2026
Daikin,RZFC100DV1G,2,9.10,3.40,4.49,4.05,674,674,18/11/2026
Daikin,MKM75VVMG-HW,5,6.00,5.45,6.39,6.01,357,357,03/03/2027
Daikin,RXMUQ5AVEG,5,13.84,5.02,5.90,5.55,833,833,28/09/2024
Daikin,RKM35PVMG,3,3.57,4.08,5.55,4.96,207,207,23/03/2027
Daikin,MKM85VVMG,5,7.52,5.12,6.27,5.81,402,402,06/08/2026
Daikin,RKM25XVMG,5,2.48,4.96,5.94,5.55,131,131,12/12/2025
Daikin,RXMUQ4AVEG,5,11.16,5.37,6.02,5.76,681,681,28/09/2024
Daikin,RZFC140DV1G,2,10.80,3.57,5.36,4.64,706,706,18/11/2026
Daikin,RZF125CV1G,2,10.88,3.53,5.36,4.63,726,726,18/11/2026
Daikin,RZFC50DAV1G,2,4.21,3.47,4.44,4.05,334,334,08/03/2025
Daikin,MKP50VVMG,5,4.37,5.18,6.65,6.06,220,220,06/08/2026
Daikin,RXMUQ6AVEG,5,15.38,4.91,6.20,5.68,935,935,28/09/2024
Daikin,RKM25PVMG,5,2.51,5.04,5.93,5.57,125,125,23/03/2027
Daikin,MKP75VVMG,5,6.15,5.61,6.50,6.14,302,302,06/08/2026
Daikin,RZFC35EV1G,3,3.49,3.97,5.74,5.03,231,231,18/11/2026
Daikin,RXMQ4AAVEG,2,10.81,3.91,6.05,5.19,1074,1074,04/05/2026
Daikin,RKM71XVMG,2,6.92,3.36,5.40,4.58,463,463,12/12/2025
