image,url,brandLogo,brandUrl,model,description,price
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 1 AIRCON- R32 RKM42PVMGFTKM42PVM,SMART ENVI 14000 BTU 2 TICKS,1559
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 1 AIRCON- R32 RKM60XVMG/FTKM60XVMG,SMART ENVI 22000 BTU 3 TICKS,2329
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 1 AIRCON- R32 RKM50XVMG/FTKM50XVMG,SMART ENVI 18000 BTU 3 TICKS,1909
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 4 AIRCON - WIFI MKM100VVMG/3XCTKM25VVMG/1XCTKM60VVMG-PROMO,3X9000 & X22000 BTU,5209
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 4 AIRCON - WIFI MKM100VVMG/2XCTKM25VVMG/2XCTKM35VVMG-PROMO,2X9000 & 2X12000 BTU,5129
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 4 AIRCON - WIFI MKM100VVMG/1XCTKM25VVMG/1XCTKM35/2XCTKM50-PROMO,"1X9000, 1X12000 & 2X18000 BTU",5339
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 4 AIRCON - WIFI MKM100VVMG/2XCTKM35VVMG/2XCTKM50VVMG-PROMO,2X12000 & 2X18000 BTU,5389
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 5 AIRCON - WIFI MKM100VVMG/2XCTKM25VVMG/3XCTKM35VVMG-PROMO,2X9000 & 3X12000 BTU,5979
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 5 AIRCON - WIFI MKM100VVMG/3XCTKM25VVMG/1XCTKM35/1XCTKM50-PROMO,"3X9000, 1X12000 & 1X18000 BTU",5999
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 5 AIRCON - WIFI MKM100VVMG/3XCTKM25VVMG/2XCTKM35VVMG-PROMO,3X9000 & 2X12000 BTU,5929
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 5 AIRCON - WIFI MKM100VVMG/4XCTKM25VVMG/1XCTKM60VVMG-PROMO,4X9000 & 1X22000 BTU,5999
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 5 AIRCON - WIFI MKM100VVMG/4XCTKM25VVMG/1XCTKM50VVMG-PROMO,4X9000 & 1X18000 BTU,5949
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 5 AIRCON - WIFI MKM100VVMG/4XCTKM25VVMG/1XCTKM35VVMG-PROMO,4X9000 & 1X12000 BTU,5869
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 5 AIRCON - WIFI MKM100VVMG/5XCTKM25VVMG-PROMO,5X9000 BTU,5819
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 5 AIRCON - WIFI MKM100VVMG/2XCTKM25VVMG/3XCTKM35VVMG,2X9000 & 3X12000 BTU,6209
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 5 AIRCON - WIFI MKM100VVMG/3XCTKM25VVMG/1XCTKM35VVMG/1XCTKM50VVMG,"3X9000, 1X12000 & 1X18000 BTU",6229
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 5 AIRCON - WIFI MKM100VVMG/3XCTKM25VVMG/2XCTKM35VVMG,3X9000 & 2X12000 BTU,6159
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 5 AIRCON - WIFI MKM100VVMG/4XCTKM25VVMG/1XCTKM60VVMG,4X9000 & 1X22000 BTU,6229
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 5 AIRCON - WIFI MKM100VVMG/4XCTKM25VVMG/1XCTKM50VVMG,4X9000 & 1X18000 BTU,6179
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 5 AIRCON - WIFI MKM100VVMG/5XCTKM25VVMG,5X9000 BTU,6049
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 4 AIRCON - WIFI MKM100VVMG/3XCTKM35VVMG/1XCTKM50VVMG,3X12000 & 1X18000 BTU,5549
/aircon/stock.png,https://www.daikin.com.sg/,/brands/daikin.png,https://www.daikin.com.sg/,DAIKIN SYSTEM 4 AIRCON - WIFI MKM100VVMG/1XCTKM25VVMG/1XCTKM35VVMG/2XCTKM50VVMG,"1X9000, 1X12000 & 2X18000 BTU",5569
